,User_A,User_B,Interaction
310,GhitaVee,CarymaRules,Retweet
311,ukrainiannproud,CarymaRules,Retweet
312,Gubegirl13,CarymaRules,Retweet
313,PrairieMouse55,CarymaRules,Retweet
314,CatusPetasatus,CarymaRules,Retweet
315,MonstazFaye,CarymaRules,Retweet
316,PExul23,PExul23,Tweet
317,HarrySi59604046,CarymaRules,Retweet
318,BaruchelNDG,CarymaRules,Retweet
319,wh0rebrain,CarymaRules,Retweet
320,c_chickpea,CarymaRules,Retweet
321,mzvividlyfoxxy,CarymaRules,Retweet
322,pewpewpew,CarymaRules,Retweet
323,AllisonKn,CarymaRules,Retweet
324,wh0rebrain,CarymaRules,Retweet
325,leighfromcanada,CarymaRules,Retweet
326,PrairieMouse55,CarymaRules,Retweet
327,Znapkel_Zeppo,CarymaRules,Retweet
328,Gale20834747,CarymaRules,Retweet
329,PrairieMouse55,CarymaRules,Retweet
330,llarisah,CarymaRules,Retweet
331,theresafromwpg,CarymaRules,Retweet
332,NadineNonny,CarymaRules,Retweet
333,Soljiminiepark,CarymaRules,Retweet
334,Katiesftw57,CarymaRules,Retweet
335,wilson50,CarymaRules,Retweet
336,Holmes_jeff,CarymaRules,Retweet
337,lindabintoronto,CarymaRules,Retweet
338,LoreneHat,CarymaRules,Retweet
339,Confeddy2,CarymaRules,Retweet
340,broomstick33,CarymaRules,Retweet
341,inatimeofdeceit,inatimeofdeceit,Tweet
342,viper1958,CarymaRules,Retweet
343,4th4drz2qk,CarymaRules,Retweet
344,EnglundBob,CarymaRules,Retweet
345,WhereverIamtday,WhereverIamtday,Tweet
346,FrancisMaudeAdv,davemacladd,Retweet
347,jim_random_num,jim_random_num,Tweet
348,SirGorden,SirGorden,Tweet
349,robstewart100,robstewart100,Tweet
350,ian_frogman,CarymaRules,Retweet
351,GayleThomson13,CarymaRules,Retweet
352,sdpuddicombe,CarymaRules,Retweet
353,RayAgua1031,RayAgua1031,Tweet
354,OddPotato17,CarymaRules,Retweet
355,ClaytonRobins,NancyBeauchemin,Retweet
356,MikeBranton,CarymaRules,Retweet
357,bigbenn1e,davemacladd,Retweet
358,bowden2you,CarymaRules,Retweet
359,HumanRe41270855,JerryCorneliusx,Retweet
360,Grey25763125,CarymaRules,Retweet
361,trepguy,CarymaRules,Retweet
362,StandingHannah,CarymaRules,Retweet
363,infantsquirrel,infantsquirrel,Tweet
364,snaphookleft,snaphookleft,Tweet
365,hummingbirdy3,hummingbirdy3,Tweet
366,WeRegisterDems,JerryCorneliusx,Retweet
367,ewarth5584,TorontoBoris,Retweet
368,ian_frogman,CarymaRules,Retweet
369,dancinglefty,CarymaRules,Retweet
370,drtongue96,CarymaRules,Retweet
371,Fources32,davemacladd,Retweet
372,tracyjayney64,davemacladd,Retweet
373,Meredithmaam,CarymaRules,Retweet
374,JBaratt,CarymaRules,Retweet
375,CreativeTweets,CarymaRules,Retweet
376,JacinthePayant,CarymaRules,Retweet
377,incognita143,CarymaRules,Retweet
378,ILoveKindness2,ILoveKindness2,Tweet
379,44Swed,CarymaRules,Retweet
380,Modquokka,davemacladd,Retweet
381,Sleeplessjade,CarymaRules,Retweet
382,Sleeplessjade,CarymaRules,Retweet
383,svmejia,svmejia,Tweet
384,tsoprano8,davemacladd,Retweet
